sigma	C	AUC
1e-6	0.001	0.9015
1e-6	0.01	0.8795
1e-5	1e-4	0.9036666666666666
1e-5	0.001	0.8823333333333333
1e-5	0.01	0.8788333333333334
1e-6	1e-4	0.9315
1e-6	0.001	0.9315
1e-6	0.01	0.9235
1e-5	1e-4	0.9381666666666667
1e-5	0.001	0.9301666666666667
1e-5	0.01	0.9186666666666666
1e-6	1e-4	0.901
1e-6	0.001	0.901
1e-6	0.01	0.887
1e-5	1e-4	0.8973333333333333
1e-5	0.001	0.8873333333333333
1e-5	0.01	0.8898333333333334
1e-6	1e-4	0.8798333333333334
1e-6	0.001	0.8798333333333334
1e-6	0.01	0.8618333333333333
1e-5	1e-4	0.8798333333333334
1e-5	0.001	0.8598333333333333
1e-5	0.01	0.8698333333333333
1e-6	1e-4	0.8734999999999999
1e-6	0.001	0.8674999999999999
1e-6	0.01	0.8328333333333333
1e-5	1e-4	0.8861666666666667
1e-5	0.001	0.8608333333333333
1e-5	0.01	0.8135
1e-6	1e-4	0.9195
1e-6	0.001	0.9155
1e-6	0.01	0.9115
1e-5	1e-4	0.9253333333333333
1e-5	0.001	0.9113333333333333
1e-5	0.01	0.9153333333333333
1e-6	1e-4	0.9068333333333334
1e-6	0.001	0.9068333333333334
1e-6	0.01	0.9015
1e-5	1e-4	0.9071666666666667
1e-5	0.001	0.8991666666666667
1e-5	0.01	0.9001666666666667
1e-6	1e-4	0.9106666666666666
1e-6	0.001	0.9106666666666666
1e-6	0.01	0.8906666666666667
1e-5	1e-4	0.9225
1e-5	0.001	0.9005
1e-5	0.01	0.9078333333333334
1e-6	1e-4	0.8881666666666667
1e-6	0.001	0.8841666666666667
1e-6	0.01	0.8701666666666666
1e-5	1e-4	0.8911666666666667
1e-5	0.001	0.8711666666666666
1e-5	0.01	0.8648333333333333
1e-6	1e-4	0.9283333333333333
1e-6	0.001	0.9283333333333333
1e-6	0.01	0.9263333333333333
1e-5	1e-4	0.9335
1e-5	0.001	0.9275
1e-5	0.01	0.9111666666666667
1e-6	1e-4	0.8916666666666666
1e-6	0.001	0.8876666666666667
1e-6	0.01	0.8756666666666667
1e-5	1e-4	0.8993333333333333
1e-5	0.001	0.8833333333333333
1e-5	0.01	0.8685
1e-6	1e-4	0.9146666666666666
1e-6	0.001	0.9106666666666666
1e-6	0.01	0.8796666666666667
1e-5	1e-4	0.915
1e-5	0.001	0.8783333333333333
1e-5	0.01	0.8588333333333333
1e-6	1e-4	0.834
1e-6	0.001	0.834
1e-6	0.01	0.804
1e-5	1e-4	0.828
1e-5	0.001	0.8133333333333334
1e-5	0.01	0.832
1e-6	1e-4	0.9126666666666666
1e-6	0.001	0.9086666666666666
1e-6	0.01	0.9066666666666666
1e-5	1e-4	0.9113333333333333
1e-5	0.001	0.9033333333333333
1e-5	0.01	0.8991666666666667
1e-6	1e-4	0.8436666666666667
1e-6	0.001	0.8436666666666667
1e-6	0.01	0.8156666666666667
1e-5	1e-4	0.84
1e-5	0.001	0.824
1e-5	0.01	0.831
1e-6	1e-4	0.9185
1e-6	0.001	0.9185
1e-6	0.01	0.9025
1e-5	1e-4	0.9198333333333333
1e-5	0.001	0.9018333333333334
1e-5	0.01	0.8966666666666666
1e-6	1e-4	0.8475
1e-6	0.001	0.8455
1e-6	0.01	0.8068333333333333
1e-5	1e-4	0.8626666666666667
1e-5	0.001	0.8186666666666667
1e-5	0.01	0.827
1e-6	1e-4	0.89
1e-6	0.001	0.89
1e-6	0.01	0.872
1e-5	1e-4	0.8704999999999999
1e-5	0.001	0.8665
1e-5	0.01	0.88
1e-6	1e-4	0.9103333333333333
1e-6	0.001	0.9083333333333333
1e-6	0.01	0.9083333333333333
1e-5	1e-4	0.914
1e-5	0.001	0.912
1e-5	0.01	0.9023333333333333
1e-6	1e-4	0.905
1e-6	0.001	0.901
1e-6	0.01	0.875
1e-5	1e-4	0.9148333333333333
1e-5	0.001	0.8948333333333334
1e-5	0.01	0.8793333333333333
